model,seed,macro_auc,macro_mrr,macro_ndcg_5,macro_ndcg_10,wall_seconds
popularity,42,0.5646673063,0.3258531417,0.3707405423,0.4508058639,11.938837
lr,42,0.5500392766,0.3400536043,0.3800672261,0.4566352827,149.500369
lr,43,0.5488224986,0.3373506176,0.3772669444,0.4541794007,160.678368
lr,44,0.5523120163,0.3411642304,0.3815235263,0.4580911202,151.225071
lr_content,42,0.5815054857,0.3575029720,0.4011484867,0.4750473674,304.508423
lr_content,43,0.5813439108,0.3574151712,0.4011013145,0.4749675577,302.292374
lr_content,44,0.5830570713,0.3594501527,0.4035011517,0.4771262117,301.307045
fm,42,0.5583596699,0.3465361964,0.3873223468,0.4634488797,158.183930
fm,43,0.5593151303,0.3478133813,0.3887301589,0.4645410688,155.872932
fm,44,0.5582586840,0.3465221383,0.3873088643,0.4631712867,158.374903
fm_content,42,0.5697076222,0.3482294682,0.3908023507,0.4663501574,316.857404
fm_content,43,0.5734751112,0.3508640294,0.3927878915,0.4688649902,313.213840
fm_content,44,0.5755648531,0.3538573940,0.3962404123,0.4714517904,314.518994
