model,seed,standard_auc,standard_logloss,random_auc,random_logloss,wall_seconds,selected_epoch
popularity,42,0.5295558351,0.6586883380,0.5294913873,0.5782283990,31.064620,
lr,42,0.7458916592,0.5713173552,0.6636190471,0.6667727432,427.126219,2
lr,43,0.7459901386,0.5708193732,0.6639880491,0.6748856208,431.825759,5
lr,44,0.7462082319,0.5710579186,0.6636603751,0.6670750847,424.145660,6
lr_content,42,0.7510804888,0.5678235313,0.6615184330,0.6838608226,638.252762,2
lr_content,43,0.7511819108,0.5673538442,0.6620896580,0.6934056787,644.923383,5
lr_content,44,0.7513082013,0.5677494595,0.6611407038,0.6827892391,619.884938,6
fm,42,0.7495279313,0.5684832837,0.6593524294,0.6826495177,444.568065,10
fm,43,0.7497015344,0.5684253256,0.6601674027,0.6791753332,454.361802,6
fm,44,0.7498609539,0.5681826299,0.6581639769,0.6833266566,446.752217,6
fm_content,42,0.7568222459,0.5622561806,0.6610111907,0.7023339864,673.854566,10
fm_content,43,0.7569185707,0.5622338367,0.6619434379,0.7070349278,681.734824,6
fm_content,44,0.7568820845,0.5620425886,0.6600657315,0.6997764497,675.467251,6
transformer_content,42,0.7597812285,0.5617460850,0.6810580092,0.7419830403,864.201895,1
transformer_content,43,0.7573374898,0.5623518620,0.6793905695,0.7072374774,1246.990528,5
transformer_content,44,0.7582674982,0.5614333524,0.6854575505,0.6887100025,1243.712384,4
