model,seed,logical_features,encoded_dimensions,ranking_objective,standard_auc,standard_logloss,random_auc,random_logloss,selected_epoch,wall_seconds
Popularity,42,0,0,popularity,0.529555835,0.658688338,0.529491387,0.578228399,,31.064620
LR,42,33,46,binary_cross_entropy,0.751422352,0.566507909,0.667771890,0.686529791,9,409.199803
LR,43,33,46,binary_cross_entropy,0.751455225,0.566504406,0.667276293,0.685888201,8,389.913839
LR,44,33,46,binary_cross_entropy,0.751395419,0.566525464,0.667066858,0.685288780,7,382.970418
FM,42,33,46,binary_cross_entropy,0.751741813,0.565841687,0.671949177,0.705231736,5,400.841265
FM,43,33,46,binary_cross_entropy,0.751447712,0.566424254,0.673353117,0.695153858,8,404.820138
FM,44,33,46,binary_cross_entropy,0.751879490,0.566001676,0.674181154,0.695087544,7,391.922445
LightGBM,42,33,46,binary,0.754510506,0.562360168,0.677807427,0.707617359,,433.757123
LightGBM,43,33,46,binary,0.753606759,0.563498060,0.676362726,0.714988567,,448.974615
LightGBM,44,33,46,binary,0.754169090,0.562808705,0.676523480,0.713849542,,436.839535
