channel,raw_request_coverage,raw_recall@20,raw_recall@50,raw_recall@100,raw_recall@200,exclusive_gt_recall@200,fused_pool_candidate_share,single_ndcg@1,single_ndcg@10,single_ndcg@20,single_recall@20,loo_ndcg@20,loo_recall@20,ndcg@20_drop,recall@20_drop
tower_a_oneshot,1.0,0.262875,0.396875,0.49175,0.59075,0.01875,0.4706778522316601,0.102875,0.2144167894019212,0.23925497228414908,0.4525,0.31414339615146253,0.559125,0.009569275832873092,0.013249999999999984
query_full_multibehav_alltext_softor_session,1.0,0.318875,0.415,0.48825,0.5655,0.003875,0.3247620486666983,0.105875,0.21041061375131262,0.23397306745427499,0.434,0.3177306460859471,0.56625,0.005982025898388532,0.006124999999999936
query_full_multibehav_alltext_softor_session_ndcg,1.0,0.315875,0.405375,0.479875,0.551,0.005625,0.31679308286525626,0.09975,0.20375127450022662,0.22667280794518574,0.42375,0.31877284603935474,0.56725,0.00493982594498088,0.005124999999999935
split_hidim_xattn_hardneg_query_full_noiserobust_session,1.0,0.301,0.392,0.458125,0.532125,0.0045,0.2878424413769334,0.096375,0.19758354057217287,0.22097460875793382,0.415625,0.31988923081600235,0.568125,0.0038234411683332747,0.004249999999999976
split_hidim_xattn_hardneg_query_full_nova_session_ndcg,1.0,0.302125,0.384625,0.45125,0.524375,0.004625,0.3333079418676963,0.095125,0.19548962908191778,0.21708728693201199,0.4055,0.3200099830890912,0.5685,0.0037026888952444437,0.003874999999999962
split_hidim_xattn_hardneg_query_full_dif_session_ndcg,1.0,0.303625,0.393625,0.456375,0.53125,0.00525,0.2994246959892307,0.09625,0.19766558329056802,0.22073778290960142,0.415125,0.32033460835406313,0.56875,0.0033780636302724876,0.0036249999999999893
bm25_colisten_oneshot,1.0,0.2875,0.388875,0.46025,0.522,0.005,0.3483261612849247,0.09875,0.2040971003664331,0.2244467691830166,0.417125,0.32063627023495017,0.5685,0.003076401749385449,0.003874999999999962
emb_item_knn_8b_session_dro,1.0,0.2945,0.38325,0.447125,0.516625,0.001125,0.4026528670294732,0.0865,0.18498848195021686,0.20701203730061823,0.394625,0.3208310477742571,0.569125,0.002881624210078537,0.003249999999999975
split_hidim_xattn_hardneg_session_ndcg,1.0,0.3025,0.392875,0.457875,0.528,0.00425,0.2837490041134174,0.09725,0.1975121465033992,0.2203589766015419,0.41375,0.3210445574272322,0.569,0.002668114557103418,0.003375000000000017
heuristic_v2_hybrid_session_dro,1.0,0.279625,0.3465,0.37775,0.39,0.001625,0.17940756299372873,0.0775,0.16511142959279057,0.18077136349636436,0.333625,0.32145497119537997,0.57,0.002257700788955652,0.002375000000000016
hybrid_all_qwen_session_dro,1.0,0.327125,0.431625,0.5015,0.571125,0.000875,0.48601825188500414,0.096125,0.20564634673907317,0.22891395698964817,0.435125,0.3219854808136721,0.5705,0.0017271911706635001,0.00187499999999996
tower_ensemble_session_dro,1.0,0.21775,0.309625,0.3745,0.427625,0.00025,0.5528231979760088,0.083375,0.17353201830470733,0.1899224137167324,0.349375,0.3233376719843356,0.572,0.0003750000000000142,0.0003750000000000142
heuristic_v3_session_dro,1.0,0.301375,0.424625,0.511375,0.5885,0.0,0.7528471741796268,0.093,0.20348189839206934,0.22840535803962184,0.441,0.3235093562092894,0.572125,0.0002033157750462311,0.00024999999999997247
tower_cf_ensemble_session_dro,1.0,0.220625,0.312,0.37675,0.4285,0.0,0.5622794376581243,0.083125,0.17349138330981043,0.18983073368026923,0.34925,0.3237126719843356,0.572375,0.0,0.0
