step,channel,recall@1,ndcg@1,recall@10,ndcg@10,recall@20,ndcg@20,recall@50,ndcg@50,recall@100,ndcg@100,recall@200,ndcg@200
1,tower_a_oneshot,0.102875,0.102875,0.35425,0.2144167894019212,0.4525,0.23925497228414908,0.54725,0.25822061884879044,0.58625,0.2646344602534009,0.59075,0.26528616644468717
2,query_full_multibehav_alltext_softor_session,0.1275,0.1275,0.40325,0.24962740683548004,0.51625,0.27818067487121356,0.641875,0.3032864895159297,0.703875,0.31345785943773036,0.71825,0.31553598002761374
3,query_full_multibehav_alltext_softor_session_ndcg,0.136875,0.136875,0.4155,0.26033828825710237,0.530375,0.2893669207171414,0.660125,0.3152596354052815,0.726625,0.3261520948642335,0.743,0.3285167669473759
4,split_hidim_xattn_hardneg_query_full_noiserobust_session,0.1435,0.1435,0.424375,0.26793843070041423,0.540375,0.29724314084392744,0.673625,0.32381151078665893,0.74225,0.33504275527962046,0.75975,0.33756321274337164
5,split_hidim_xattn_hardneg_query_full_dif_session_ndcg,0.14875,0.14875,0.430875,0.273788016058454,0.547125,0.3031677822184067,0.682,0.3300624062545363,0.753,0.3416836169074549,0.772125,0.34443108224574187
6,split_hidim_xattn_hardneg_query_full_nova_session_ndcg,0.15325,0.15325,0.43575,0.2785394562253101,0.552375,0.3080115231441299,0.68725,0.3349014155510255,0.759875,0.34678072435054935,0.77975,0.349630177701365
7,bm25_colisten_oneshot,0.156,0.156,0.44075,0.28229967738151945,0.558875,0.31216502513971467,0.697,0.3397100888265817,0.774375,0.352346424425048,0.797875,0.3557090558968766
8,emb_item_knn_8b_session_dro,0.15925,0.15925,0.444125,0.2856943587569801,0.563125,0.3157615353806669,0.70075,0.3431961077482467,0.7805,0.3562123495006134,0.80475,0.35967659232699617
9,split_hidim_xattn_hardneg_session_ndcg,0.16175,0.16175,0.44775,0.2886711748821819,0.567,0.3188001828236335,0.705125,0.3463358818601,0.785,0.359373186297227,0.809375,0.3628558909665571
10,heuristic_v2_hybrid_session_dro,0.163875,0.163875,0.450125,0.29092707131099727,0.56925,0.32102586369022357,0.707625,0.3486144902503297,0.7875,0.3616503757170499,0.811875,0.36513270330633063
11,hybrid_all_qwen_session_dro,0.1655,0.1655,0.45225,0.2927034118834588,0.570875,0.32267461783923373,0.710625,0.35052447923423175,0.79075,0.36358692733121223,0.81625,0.36722797291476134
12,tower_ensemble_session_dro,0.166125,0.166125,0.45325,0.29346841451710154,0.572125,0.3235093562092894,0.71175,0.3513384301437181,0.792625,0.3645214171169556,0.82025,0.36845717966928027
13,heuristic_v3_session_dro,0.16625,0.16625,0.4535,0.29367228073629803,0.572375,0.3237126719843356,0.712125,0.3515665259016607,0.793125,0.36476881406916106,0.82075,0.3687045547437685
14,tower_cf_ensemble_session_dro,0.16625,0.16625,0.4535,0.29367228073629803,0.572375,0.3237126719843356,0.712125,0.3515665259016607,0.793125,0.36476881406916106,0.82075,0.3687045547437685
